time	V(n015)	V(n017)
2.246926397554467e-003	-8.188336e+000	-1.102821e-006
2.250369995613448e-003	-8.198201e+000	-1.102824e-006
2.251464550395111e-003	-8.201005e+000	-1.102825e-006
2.251860946083429e-003	-8.201982e+000	-1.102825e-006
2.252308912900430e-003	-8.203064e+000	-1.102825e-006
2.252709573701277e-003	-8.204021e+000	-1.102825e-006
2.253109400133187e-003	-8.204960e+000	-1.102826e-006
2.253909052997007e-003	-8.206798e+000	-1.102826e-006
2.254995780462896e-003	-8.209215e+000	-1.102827e-006
2.256647867029050e-003	-8.212697e+000	-1.102828e-006
2.259344913118411e-003	-8.217864e+000	-1.102829e-006
2.264169170423061e-003	-8.225472e+000	-1.102831e-006
2.273144889307787e-003	-8.235927e+000	-1.102834e-006
2.278785098957162e-003	-8.240004e+000	-1.102835e-006
2.283133332479545e-003	-8.241599e+000	-1.102835e-006
2.283366508231046e-003	-8.241639e+000	-1.102835e-006
2.285649713144447e-003	-8.241631e+000	-1.102835e-006
2.296268335404209e-003	-8.235964e+000	-1.102834e-006
2.306886957663969e-003	-8.221721e+000	-1.102830e-006
2.317505579923730e-003	-8.198900e+000	-1.102824e-006
2.328124202183491e-003	-8.167501e+000	-1.102815e-006
2.338742824443252e-003	-8.127526e+000	-1.102805e-006
2.349361446703013e-003	-8.078973e+000	-1.102792e-006
2.359980068962774e-003	-8.021842e+000	-1.102777e-006
2.408808193962774e-003	-7.707006e+000	-1.102693e-006
2.457636318962773e-003	-7.307771e+000	-1.102587e-006
2.506464443962773e-003	-6.858511e+000	-1.102470e-006
2.555292568962773e-003	-6.411126e+000	-1.102354e-006
2.604120693962773e-003	-6.017181e+000	-1.102254e-006
2.652948818962773e-003	-5.723105e+000	-1.102179e-006
2.701776943962772e-003	-5.538771e+000	-1.102133e-006
2.718903706295033e-003	-5.510714e+000	-1.102126e-006
2.735887322906215e-003	-5.513878e+000	-1.102127e-006
2.757005184773994e-003	-5.546512e+000	-1.102135e-006
2.776405251142626e-003	-5.607942e+000	-1.102150e-006
2.807920151354966e-003	-5.774954e+000	-1.102192e-006
2.856748276354966e-003	-6.151742e+000	-1.102288e-006
2.905576401354965e-003	-6.648382e+000	-1.102415e-006
2.954404526354965e-003	-7.241897e+000	-1.102570e-006
3.052060776354965e-003	-8.526873e+000	-1.102913e-006
3.100888901354965e-003	-9.114747e+000	-1.103073e-006
3.149717026354964e-003	-9.601994e+000	-1.103207e-006
3.198545151354964e-003	-9.977682e+000	-1.103310e-006
3.216488451103159e-003	-1.007677e+001	-1.103338e-006
3.232980684019979e-003	-1.013902e+001	-1.103355e-006
3.248060148802034e-003	-1.017756e+001	-1.103366e-006
3.264278963078556e-003	-1.019729e+001	-1.103371e-006
3.288238669128951e-003	-1.018487e+001	-1.103368e-006
3.327034248309076e-003	-1.007768e+001	-1.103338e-006
3.375862373309076e-003	-9.818941e+000	-1.103266e-006
3.424690498309076e-003	-9.443643e+000	-1.103163e-006
3.473518623309076e-003	-8.985141e+000	-1.103037e-006
3.522346748309075e-003	-8.492805e+000	-1.102904e-006
3.571174873309075e-003	-8.018973e+000	-1.102776e-006
3.620002998309075e-003	-7.614064e+000	-1.102668e-006
3.668831123309075e-003	-7.310993e+000	-1.102588e-006
3.704011862984037e-003	-7.168983e+000	-1.102550e-006
3.720578420311971e-003	-7.134479e+000	-1.102541e-006
3.737910235142656e-003	-7.126549e+000	-1.102539e-006
3.760499155176999e-003	-7.148276e+000	-1.102545e-006
3.782091185308869e-003	-7.206813e+000	-1.102560e-006
3.817118319325824e-003	-7.379914e+000	-1.102606e-006
3.865946444325824e-003	-7.740526e+000	-1.102702e-006
3.914774569325825e-003	-8.217620e+000	-1.102829e-006
3.963602694325824e-003	-8.782976e+000	-1.102982e-006
4.012430819325824e-003	-9.388378e+000	-1.103148e-006
4.061258944325824e-003	-9.981668e+000	-1.103312e-006
4.110087069325824e-003	-1.052953e+001	-1.103464e-006
4.129055043279796e-003	-1.071763e+001	-1.103516e-006
4.141088477543934e-003	-1.081906e+001	-1.103544e-006
4.146362380812437e-003	-1.085223e+001	-1.103553e-006
4.151672647423124e-003	-1.087269e+001	-1.103559e-006
4.156950277553847e-003	-1.088491e+001	-1.103562e-006
4.162153934982239e-003	-1.089284e+001	-1.103565e-006
4.169413030862735e-003	-1.090036e+001	-1.103567e-006
4.183329408916537e-003	-1.090987e+001	-1.103570e-006
4.200390983187172e-003	-1.091696e+001	-1.103571e-006
4.227547280433648e-003	-1.092320e+001	-1.103573e-006
4.244621832093594e-003	-1.092514e+001	-1.103574e-006
4.263000391568094e-003	-1.092548e+001	-1.103574e-006
4.286159697934095e-003	-1.092349e+001	-1.103573e-006
4.323684547890329e-003	-1.091084e+001	-1.103570e-006
4.366976915725565e-003	-1.087288e+001	-1.103559e-006
4.380070263512391e-003	-1.084254e+001	-1.103551e-006
