time	V(vin)	I(D1)	I(D2)	I(D6)
3.255847887836201e-002	2.930263e+000	4.269277e-011	1.028248e-004	1.319858e-002
3.255864475337012e-002	2.930278e+000	4.064478e-011	1.159296e-004	1.319814e-002
3.255886781952128e-002	2.930298e+000	3.871973e-011	1.285748e-004	1.319804e-002
3.255914325608682e-002	2.930323e+000	3.715188e-011	1.388965e-004	1.319832e-002
3.255929465041563e-002	2.930336e+000	3.661307e-011	1.423483e-004	1.319861e-002
3.255956948502053e-002	2.930361e+000	3.610894e-011	1.452937e-004	1.319921e-002
3.255992387827675e-002	2.930393e+000	3.584525e-011	1.464904e-004	1.319986e-002
3.256099860073532e-002	2.930490e+000	3.579681e-011	1.464360e-004	1.320008e-002
3.256207332319388e-002	2.930587e+000	3.575511e-011	1.465264e-004	1.320010e-002
3.256314804565245e-002	2.930683e+000	3.572016e-011	1.467616e-004	1.319993e-002
3.256422276811101e-002	2.930780e+000	3.569196e-011	1.471416e-004	1.319957e-002
3.256529749056958e-002	2.930877e+000	3.567051e-011	1.476664e-004	1.319901e-002
3.256637221302814e-002	2.930974e+000	3.565581e-011	1.483360e-004	1.319826e-002
3.256744693548671e-002	2.931070e+000	3.564786e-011	1.491505e-004	1.319731e-002
3.272250599037118e-002	2.945026e+000	3.258481e-011	2.365015e-004	1.310999e-002
3.287756504525565e-002	2.958981e+000	2.988098e-011	3.241202e-004	1.302241e-002
3.303262410014012e-002	2.972936e+000	2.753636e-011	4.120067e-004	1.293454e-002
3.318768315502459e-002	2.986891e+000	2.555094e-011	5.001610e-004	1.284641e-002
3.334274220990906e-002	3.000847e+000	2.392474e-011	5.885830e-004	1.275799e-002
3.349780126479353e-002	3.014802e+000	2.265775e-011	6.772727e-004	1.266931e-002
3.365286031967800e-002	3.028757e+000	2.174997e-011	7.662302e-004	1.258034e-002
3.443411031967801e-002	3.099070e+000	1.879359e-011	1.218388e-003	1.212819e-002
3.521536031967802e-002	3.169382e+000	1.635030e-011	1.678374e-003	1.166820e-002
3.599661031967803e-002	3.239695e+000	1.442008e-011	2.146190e-003	1.120039e-002
3.677786031967804e-002	3.310007e+000	1.300295e-011	2.621836e-003	1.072474e-002
3.755911031967806e-002	3.380320e+000	1.209890e-011	3.105310e-003	1.024127e-002
3.834036031967807e-002	3.450632e+000	1.170792e-011	3.596614e-003	9.749958e-003
3.912161031967808e-002	3.520945e+000	1.183003e-011	4.095748e-003	9.250820e-003
4.012607460539238e-002	3.611347e+000	1.153435e-011	4.750273e-003	8.596289e-003
4.113053889110668e-002	3.701748e+000	1.128459e-011	5.419497e-003	7.927060e-003
4.213500317682098e-002	3.792150e+000	1.108073e-011	6.103420e-003	7.243132e-003
4.313946746253528e-002	3.882552e+000	1.092278e-011	6.802042e-003	6.544504e-003
4.414393174824958e-002	3.972954e+000	1.081074e-011	7.515363e-003	5.831178e-003
4.514839603396388e-002	4.063356e+000	1.074461e-011	8.243383e-003	5.103152e-003
4.615286031967818e-002	4.153758e+000	1.072439e-011	8.986101e-003	4.360428e-003
4.634817281967818e-002	4.171336e+000	1.070628e-011	9.132068e-003	4.214460e-003
4.644582906967818e-002	4.180125e+000	1.068963e-011	9.205235e-003	4.141292e-003
4.654348531967818e-002	4.188914e+000	1.066110e-011	9.278524e-003	4.068003e-003
4.664114156967818e-002	4.197703e+000	1.060957e-011	9.351932e-003	3.994595e-003
4.673879781967819e-002	4.206492e+000	1.051450e-011	9.425456e-003	3.921069e-003
4.683645406967819e-002	4.215281e+000	1.033980e-011	9.499095e-003	3.847429e-003
4.693411031967819e-002	4.224070e+000	1.002813e-011	9.572849e-003	3.773676e-003
4.703176656967819e-002	4.232859e+000	9.503639e-012	9.646712e-003	3.699812e-003
4.712942281967819e-002	4.241648e+000	8.696771e-012	9.720683e-003	3.625839e-003
4.722707906967819e-002	4.250437e+000	7.593136e-012	9.794760e-003	3.551762e-003
4.732473531967819e-002	4.259226e+000	6.272884e-012	9.868940e-003	3.477582e-003
4.742239156967820e-002	4.268015e+000	4.893708e-012	9.943219e-003	3.403303e-003
4.752004781967820e-002	4.276804e+000	3.620889e-012	1.001759e-002	3.328928e-003
4.761770406967820e-002	4.285594e+000	2.562287e-012	1.009206e-002	3.254460e-003
4.771536031967820e-002	4.294383e+000	1.751263e-012	1.016662e-002	3.179904e-003
4.781301656967820e-002	4.303172e+000	1.167473e-012	1.024126e-002	3.105263e-003
4.791067281967820e-002	4.311961e+000	7.659854e-013	1.031598e-002	3.030542e-003
4.810598531967820e-002	4.329539e+000	3.234588e-013	1.046564e-002	2.880879e-003
4.839895406967821e-002	4.355906e+000	8.492432e-014	1.069060e-002	2.655917e-003
4.851056121253535e-002	4.365951e+000	2.277137e-014	1.077645e-002	2.570063e-003
4.862216835539250e-002	4.375995e+000	-1.503551e-014	1.086232e-002	2.484197e-003
4.873377549824964e-002	4.386040e+000	-2.849632e-014	1.094820e-002	2.398318e-003
4.884538264110679e-002	4.396085e+000	-1.761105e-014	1.103409e-002	2.312427e-003
4.895698978396393e-002	4.406129e+000	1.762029e-014	1.111999e-002	2.226523e-003
4.906859692682108e-002	4.416174e+000	7.719771e-014	1.120591e-002	2.140607e-003
4.918020406967822e-002	4.426219e+000	1.611212e-013	1.129184e-002	2.054679e-003
4.937551656967822e-002	4.443797e+000	1.357085e-009	1.144201e-002	1.904506e-003
4.947317281967822e-002	4.452586e+000	5.082301e-009	1.151699e-002	1.829515e-003
4.957082906967823e-002	4.461375e+000	1.089945e-008	1.159189e-002	1.754613e-003
4.966848531967823e-002	4.470164e+000	2.066359e-008	1.166667e-002	1.679820e-003
4.976614156967823e-002	4.478953e+000	3.893410e-008	1.174132e-002	1.605158e-003
4.986379781967823e-002	4.487742e+000	7.312343e-008	1.181579e-002	1.530653e-003
4.996145406967823e-002	4.496531e+000	1.371620e-007	1.189004e-002	1.456334e-003
5.005911031967823e-002	4.505320e+000	2.571705e-007	1.196402e-002	1.382232e-003
5.015676656967823e-002	4.514109e+000	4.819786e-007	1.203765e-002	1.308384e-003
5.025442281967824e-002	4.522898e+000	9.023642e-007	1.211078e-002	1.234830e-003
5.035207906967824e-002	4.531687e+000	1.685035e-006	1.218321e-002	1.161618e-003
5.044973531967824e-002	4.540476e+000	3.129559e-006	1.225459e-002	1.088801e-003
5.054739156967824e-002	4.549265e+000	5.753000e-006	1.232433e-002	1.016441e-003
5.064504781967824e-002	4.558054e+000	1.038922e-005	1.239153e-002	9.446096e-004
5.074270406967824e-002	4.566844e+000	1.824249e-005	1.245490e-002	8.733909e-004
5.084036031967824e-002	4.575633e+000	3.078672e-005	1.251287e-002	8.028839e-004
5.093801656967825e-002	4.584422e+000	4.943893e-005	1.256391e-002	7.332064e-004
5.103567281967825e-002	4.593211e+000	7.512817e-005	1.260694e-002	6.644997e-004
5.113332906967825e-002	4.602000e+000	1.080378e-004	1.264161e-002	5.969352e-004
